humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
92.0,24.853233,121.830797,,999.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,C0U860,頭城,,27.2,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,0.0,0.1
,24.971779,121.828198,,,,0.0,10.5,0.0,10.5,10.5,27.5,0.0,0.0,10.5,L1A840,太平,,,,2025-07-31T23:00:00+08:00,,,,,,
98.0,22.071122,120.764111,,991.6,58.5,0.0,6.5,0.0,58.5,78.5,296.0,2.5,5.0,58.5,C0R770,保力,,26.8,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,274.0,3.6
,22.854222,120.5454,,,,0.5,38.5,0.5,97.5,170.5,358.5,1.5,7.5,94.0,C1V570,吉東,,,,2025-07-31T23:00:00+08:00,,,,,,
,22.725061,121.03782,,,,0.0,2.0,0.0,38.0,120.5,129.5,0.5,2.0,27.5,81S930,射馬干,,,,2025-07-31T23:00:00+08:00,,,,,,
100.0,22.121825,120.836781,,958.8,63.0,0.0,17.0,0.0,63.0,140.0,255.5,2.5,11.0,63.0,C0R830,高士,,24.2,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,176.0,3.2
,24.560997,120.836,,,,0.0,0.0,0.0,16.5,17.5,20.5,0.0,0.0,9.0,C1E900,國一N128K,,,,2025-07-31T23:00:00+08:00,,,,,,
,25.168595,121.538915,,,,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,A1A9S0,湖田國小,,,,2025-07-31T23:00:00+08:00,,,,,,
99.0,23.532742,120.843667,,840.5,222.0,1.5,87.0,6.0,247.5,525.5,552.5,13.5,19.0,222.0,C0H9A0,神木村,,17.6,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,0.0,0.0
93.0,22.416211,120.926942,,998.1,33.0,0.0,7.0,0.0,33.5,192.5,230.5,1.5,6.5,33.0,C0S970,加津林,,26.2,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,270.0,0.7
88.0,22.467947,120.582894,,999.3,22.0,0.0,2.5,0.0,22.0,130.5,205.0,0.5,1.5,22.0,C0R550,新埤,,27.7,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,101.0,1.3
97.0,23.310694,120.316681,,998.9,16.5,0.0,4.0,0.0,16.5,23.0,85.0,0.0,4.0,16.5,C0X250,新營,,27.7,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,168.0,1.6
,24.862306,121.551378,,,,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,01AD90,覽勝橋,,,,2025-07-31T23:00:00+08:00,,,,,,
100.0,23.080106,120.591758,5.0,-99.0,,0.0,80.5,0.5,169.0,315.5,516.0,0.5,46.5,153.5,C2V250,甲仙,-99.0,25.0,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,-99,-99,陰,180.0,0.4
,25.038894,121.556406,,,,0.0,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,A1AA80,市政中心,,,,2025-07-31T23:00:00+08:00,,,,,,
,22.879521,120.481673,,,,0.0,26.0,0.0,49.0,95.0,261.0,1.0,8.0,49.0,O1P470,旗山(4),,,,2025-07-31T23:00:00+08:00,,,,,,
,23.714206,121.373133,,,,0.0,12.0,0.0,20.5,30.0,30.5,0.0,5.5,20.0,C1T940,大觀,,,,2025-07-31T23:00:00+08:00,,,,,,
,24.554803,121.034747,,,,0.0,0.0,0.0,11.0,11.0,18.0,0.0,0.0,11.0,C1E480,鳳美,,,,2025-07-31T23:00:00+08:00,,,,,,
,25.091251,121.838927,,,,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,81AI30,大粗坑,,,,2025-07-31T23:00:00+08:00,,,,,,
96.0,24.296465,120.643135,6.3,-99.0,,0.0,1.5,0.0,172.0,217.5,220.5,0.5,0.5,155.5,CAF090,國四E5K,-99.0,24.8,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,-99,-99,陰,130.0,1.8
91.0,23.63353,120.55239,7.4,-99.0,,0.0,68.5,0.0,95.5,190.5,192.5,0.0,38.0,92.5,A2K570,古坑(花卉中心),-99.0,27.3,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,-99,-99,陰,190.0,3.1
,22.675384,120.686784,,,,0.0,134.0,1.0,331.0,674.0,800.0,28.0,54.0,308.0,01Q920,新瑪家,,,,2025-07-31T23:00:00+08:00,,,,,,
,22.876332,120.327203,,,,0.0,12.0,0.0,29.0,34.0,132.0,1.0,1.0,29.0,01P500,阿蓮(2),,,,2025-07-31T23:00:00+08:00,,,,,,
70.0,25.037822,121.564597,,991.7,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,C0AC70,信義,,30.7,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,240.0,0.3
,24.461667,120.863889,,,,0.0,2.0,1.5,22.0,36.5,58.5,1.5,1.5,21.0,81E710,開礦國小,,,,2025-07-31T23:00:00+08:00,,,,,,
100.0,21.975177,120.843919,,1000.6,33.5,0.0,1.5,0.0,33.5,49.5,206.0,0.0,0.0,33.5,C0R870,興海,,27.9,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,251.0,2.3
,25.094893,121.56991,,,,0.0,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,A1AG80,金面山,,,,2025-07-31T23:00:00+08:00,,,,,,
86.0,24.681836,121.749344,,998.4,-99.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,C0U940,羅東,,28.4,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,253.0,1.2
,25.03399,121.624705,,,,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,A1AC50,舊莊里,,,,2025-07-31T23:00:00+08:00,,,,,,
,22.811862,120.398164,,,,0.0,12.0,1.0,24.0,37.0,108.0,1.0,2.0,24.0,01P390,金山,,,,2025-07-31T23:00:00+08:00,,,,,,
,24.985827,121.887489,,,,0.0,5.0,0.0,5.0,5.0,10.0,0.0,0.0,5.0,O1AH30,吉林國小,,,,2025-07-31T23:00:00+08:00,,,,,,
,25.168295,121.528315,,,,0.0,0.0,0.0,0.0,0.0,73.5,0.0,0.0,0.0,A1AD20,竹子湖,,,,2025-07-31T23:00:00+08:00,,,,,,
95.0,23.344331,121.302853,,978.9,23.0,0.0,15.5,0.0,24.0,37.0,37.5,0.0,1.5,23.0,C0Z170,卓溪,,23.7,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,239.0,1.0
-99.0,22.370361,120.628306,,-99.0,-99.0,,,,,,,,,,C0R260,春日,,-99.0,,,2025-07-31T23:00:00+08:00,,,,-99.0,-99.0
95.0,23.660694,121.424964,,987.2,11.5,0.0,4.5,0.0,12.5,20.5,20.5,0.0,2.5,11.5,C0T960,光復,,24.2,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,223.0,0.9
74.0,24.668836,120.885811,8.4,-99.0,,0.0,0.0,0.0,0.5,0.5,11.5,0.0,0.0,0.5,CAE020,國一S114K,-99.0,28.5,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,-99,-99,多雲,190.0,2.7
85.0,24.218294,121.689142,,993.2,10.0,0.0,0.5,0.0,10.0,10.0,13.0,0.0,0.0,10.0,C0Z310,清水斷崖,,25.8,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,334.0,0.4
90.0,23.0757,120.363253,,996.0,16.0,0.5,10.0,1.0,16.5,44.0,85.0,1.5,2.0,16.0,C0X180,山上,,27.4,,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,,,0.0,0.1
,24.588003,120.735306,,,,0.0,0.0,0.0,9.0,9.0,15.0,0.0,0.0,9.0,01E310,南勢山,,,,2025-07-31T23:00:00+08:00,,,,,,
,24.265689,121.001142,,,,1.0,18.5,3.0,115.0,165.5,219.0,3.0,5.0,114.5,C1F891,稍來,,,,2025-07-31T23:00:00+08:00,,,,,,
85.0,23.798783,120.217717,8.4,-99.0,,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,A0K420,麥寮,-99.0,28.6,2025-07-31T23:00:00+08:00,2025-07-31T23:00:00+08:00,,-99,-99,陰,200.0,4.3
,24.279567,121.02549,,,,0.0,14.0,1.0,82.0,121.0,184.0,1.0,2.0,82.0,01F350,雪嶺,,,,2025-07-31T23:00:00+08:00,,,,,,
